Year,District,Tree Cover (%)
2011,Nagaur,1.1359165200600736
2012,Nagaur,1.1306146349886368
2013,Nagaur,1.8785116777627084
2014,Nagaur,1.4402149887268865
2015,Nagaur,1.4809084386904237
2016,Nagaur,1.3149517140688785
2017,Nagaur,1.8033248556852526
2018,Nagaur,1.168501448112255
2019,Nagaur,1.2286830252701808
2020,Nagaur,1.8167047594952985
2000,Pali,1.7800564346253607
2001,Pali,1.4878220584106543
2002,Pali,1.6740918997600338
2003,Pali,1.7794982876190184
2004,Pali,1.824038304189475
2005,Pali,2.149320752917907
2006,Pali,2.4993331156199674
2007,Pali,2.0152888040306274
2008,Pali,2.1628456348780776
2009,Pali,1.8046914986844862
2010,Pali,2.004657023424996
2011,Pali,1.7538888822871779
2012,Pali,2.7102259231903223
2013,Pali,2.8044594206295246
2014,Pali,2.516675330818606
2015,Pali,2.5574003048655136
2016,Pali,1.9545802773168122
2017,Pali,3.0083309006418215
2018,Pali,2.1489122182295413
2019,Pali,2.799412617744544
2020,Pali,3.4940674778756446
2000,Sikar,1.9555077574867223
2001,Sikar,1.5954788981902268
2002,Sikar,1.14199590434386
2003,Sikar,1.5788429596591294
2004,Sikar,1.6934459915093603
2005,Sikar,2.0649492069389113
2006,Sikar,2.205267893062711
2007,Sikar,1.8145555608564292
2008,Sikar,2.3874508301897497
2009,Sikar,1.9135950091507719
2010,Sikar,1.6057333772290572
2011,Sikar,1.4663135835276873
2012,Sikar,2.238736804637069
2013,Sikar,3.0012720963152546
2014,Sikar,2.548853675313973
2015,Sikar,2.0834608644006707
2016,Sikar,1.9691985545088033
2017,Sikar,2.43282166391642
2018,Sikar,1.9810150987986532
2019,Sikar,2.0389863290530497
2020,Sikar,3.447934673416148
2000,Sirohi,2.3913868311583504
2001,Sirohi,2.1015535613503347
2002,Sirohi,3.4028039297539623
2003,Sirohi,2.396998839258472
2004,Sirohi,3.5141296728921554
2005,Sirohi,3.8806026521604164
2006,Sirohi,3.7300860227878707
2007,Sirohi,3.045101247256963
2008,Sirohi,3.473045645749991
2009,Sirohi,3.082371681018211
2010,Sirohi,2.616416670772042
2011,Sirohi,2.246987128128405
2012,Sirohi,4.303549207057102
2013,Sirohi,4.317203606855207
2014,Sirohi,4.183163111409581
2015,Sirohi,4.28084015906394
2016,Sirohi,2.670672823868926
2017,Sirohi,3.367311340608929
2018,Sirohi,2.436649009221109
2019,Sirohi,3.6451954548715317
2020,Sirohi,5.824533045697602
2000,Tonk,2.0063452650310265
2001,Tonk,1.4018177615513345
2002,Tonk,1.618897107034358
2003,Tonk,1.3576350993133006
2004,Tonk,1.3834316631101111
2005,Tonk,2.563417984388023
2006,Tonk,2.3277174945445274
2007,Tonk,2.174619500379373
2008,Tonk,2.717624556973778
2009,Tonk,1.9406392688500078
2010,Tonk,1.9018979988441458
2011,Tonk,1.82175379835546
2012,Tonk,2.993291748036135
2013,Tonk,2.866505859028257
2014,Tonk,3.116060289217363
2015,Tonk,2.5325799354129352
2016,Tonk,2.279603022186066
2017,Tonk,2.829752792373549
2018,Tonk,2.488630369516792
2019,Tonk,4.055733908036237
2020,Tonk,4.25401213879966
